Age,Program,Quotes,Sales,Conversion,Average
19-20,Icon,8459,96,0.011348859,0.04212209
21-22,Icon,12605,203,0.01610472,0.04212209
23-24,Icon,14803,355,0.023981625,0.04212209
25-29,Icon,36806,1649,0.044802478,0.04212209
30-34,Icon,32378,1539,0.047532275,0.04212209
35-39,Icon,35083,1466,0.04178662,0.04212209
40-44,Icon,30216,1788,0.059173948,0.04212209
45-49,Icon,28419,1769,0.062247088,0.04212209
50-65,Icon,56445,3929,0.069607583,0.04212209
66-69,Icon,5852,320,0.05468216,0.04212209
70-99,Icon,11317,363,0.032075638,0.04212209
19-20,Optimum,8745,110,0.012578616,0.026864134
21-22,Optimum,14993,472,0.031481358,0.026864134
23-24,Optimum,14993,472,0.031481358,0.026864134
25-29,Optimum,37961,1436,0.037828297,0.026864134
30-34,Optimum,33342,1228,0.036830424,0.026864134
35-39,Optimum,36777,1122,0.030508198,0.026864134
40-44,Optimum,31901,930,0.029152691,0.026864134
45-49,Optimum,30333,752,0.024791481,0.026864134
50-65,Optimum,58248,1362,0.023382777,0.026864134
66-69,Optimum,5590,108,0.019320215,0.026864134
70-99,Optimum,10303,187,0.018150053,0.026864134
19-20,Select,7808,296,0.037909836,0.026525937
21-22,Select,10988,359,0.032672006,0.026525937
23-24,Select,12499,457,0.036562925,0.026525937
25-29,Select,29715,617,0.020763924,0.026525937
30-34,Select,24686,767,0.031070242,0.026525937
35-39,Select,25060,774,0.030885874,0.026525937
40-44,Select,20608,621,0.030133929,0.026525937
45-49,Select,18551,629,0.033906528,0.026525937
50-65,Select,33556,799,0.023810943,0.026525937
66-69,Select,2886,30,0.01039501,0.026525937
70-99,Select,4627,17,0.003674087,0.026525937
19-20,Windhaven,10615,223,0.021008008,0.030615513
21-22,Windhaven,15403,822,0.053366227,0.030615513
23-24,Windhaven,18125,892,0.049213793,0.030615513
25-29,Windhaven,45258,1711,0.037805471,0.030615513
30-34,Windhaven,39852,1257,0.031541704,0.030615513
35-39,Windhaven,43053,1600,0.037163496,0.030615513
40-44,Windhaven,36905,1200,0.032515919,0.030615513
45-49,Windhaven,34623,827,0.023885856,0.030615513
50-65,Windhaven,66539,1454,0.021851846,0.030615513
66-69,Windhaven,6388,96,0.015028178,0.030615513
70-99,Windhaven,11501,154,0.01339014,0.030615513
